                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2619,                   4.19,                 1.5591,                0.00314,                      1,                0.00804,                 0.0043,                 1.4521,                 3.6292,                 1.1097,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.1776,                 4.0503,                  1.499,                0.00314,                      1,                0.00908,                0.00522,                 1.3649,                 3.6279,                 1.0765,             9.8763e-05,             9.8763e-05,             9.8763e-05
                      3,                 1.7989,                 3.7549,                 1.3157,                0.00314,                      1,                0.00871,                0.00429,                 1.6024,                 3.8359,                 1.2044,             0.00015604,             0.00015604,             0.00015604
                      4,                 1.8365,                 3.0774,                 1.2081,                0.00314,                      1,                0.13909,                0.03097,                 1.5867,                  3.677,                 1.1753,             0.00021183,             0.00021183,             0.00021183
                      5,                 1.6306,                 2.1389,                 1.1537,                0.00314,                      1,                0.01373,                0.00613,                 1.5542,                  3.675,                 1.1697,             0.00026614,             0.00026614,             0.00026614
                      6,                 1.6793,                 2.0411,                 1.2191,                0.00314,                      1,                0.01086,                0.00287,                 1.4268,                 3.9489,                 1.2687,             0.00031896,             0.00031896,             0.00031896
                      7,                 1.5944,                 2.0071,                 1.2407,                0.00314,                      1,                0.02191,                0.00653,                 1.4114,                 3.7904,                 1.2198,              0.0003703,              0.0003703,              0.0003703
                      8,                 1.5857,                 1.9221,                 1.2677,                0.00314,                      1,                0.02831,                0.00821,                 1.6173,                 3.6901,                 1.2396,             0.00042015,             0.00042015,             0.00042015
                      9,                   1.65,                 2.0329,                 1.2532,                0.00314,                      1,                  0.093,                0.01647,                 1.5668,                 3.7726,                 1.2255,             0.00046852,             0.00046852,             0.00046852
                     10,                 1.5694,                 1.8375,                 1.2134,                0.00314,                      1,                0.01113,                0.00554,                 1.3372,                 3.7471,                 1.1259,              0.0005154,              0.0005154,              0.0005154
                     11,                 1.6055,                 1.7683,                 1.2121,                0.00294,                 0.9375,                0.01011,                0.00412,                 1.4369,                 3.8934,                 1.2046,              0.0005608,              0.0005608,              0.0005608
                     12,                 1.6988,                 1.8373,                 1.2466,                0.00294,                 0.9375,                0.00878,                0.00225,                 1.6909,                 4.0346,                 1.3429,             0.00060471,             0.00060471,             0.00060471
                     13,                 1.6136,                 1.6701,                 1.2688,                0.00255,                 0.8125,                0.00704,                0.00203,                 1.8597,                 4.0549,                 1.4248,             0.00064714,             0.00064714,             0.00064714
                     14,                 1.5984,                 1.5898,                 1.2537,                0.00314,                      1,                0.00916,                0.00359,                 1.9126,                 3.5613,                 1.2842,             0.00068808,             0.00068808,             0.00068808
                     15,                 1.6473,                 1.6511,                 1.3194,                0.00314,                      1,                0.01003,                0.00545,                 1.3572,                 3.4418,                 1.1391,             0.00072754,             0.00072754,             0.00072754
                     16,                 1.5536,                 1.5876,                 1.3027,                0.00314,                      1,                 0.0105,                0.00501,                 1.5904,                 3.4949,                 1.2818,             0.00076551,             0.00076551,             0.00076551
                     17,                 1.6363,                 1.6144,                 1.2552,                0.00314,                      1,                0.55252,                 0.2781,                 1.6836,                 3.3296,                 1.2304,               0.000802,               0.000802,               0.000802
                     18,                 1.5572,                 1.4545,                 1.2282,                0.00314,                      1,                0.96206,                0.49186,                 1.6167,                  3.044,                 1.1894,               0.000837,               0.000837,               0.000837
                     19,                 1.6157,                 1.5835,                 1.2722,                0.00314,                      1,                0.94735,                0.49672,                 1.5821,                 3.0504,                 1.1703,             0.00087052,             0.00087052,             0.00087052
                     20,                 1.5676,                 1.5072,                 1.2515,                0.00314,                      1,                0.96206,                0.51845,                 1.6721,                 2.9934,                 1.1665,             0.00090255,             0.00090255,             0.00090255
                     21,                 1.6578,                 1.5211,                  1.286,                0.00314,                      1,                0.97324,                0.53129,                 1.6851,                 2.9088,                 1.1629,              0.0009331,              0.0009331,              0.0009331
                     22,                 1.5349,                 1.4112,                 1.2472,                0.00314,                      1,                0.98441,                0.54166,                 1.5458,                 2.8036,                 1.1248,             0.00096216,             0.00096216,             0.00096216
                     23,                 1.5818,                 1.4643,                 1.2543,                0.00314,                      1,                0.96559,                 0.5112,                 1.5594,                 2.7933,                 1.1309,             0.00098974,             0.00098974,             0.00098974
                     24,                 1.4373,                 1.3878,                 1.2187,                0.00314,                      1,                0.95088,                0.47529,                 1.5781,                   2.74,                 1.1293,              0.0010158,              0.0010158,              0.0010158
                     25,                 1.6011,                 1.4089,                 1.2598,                0.58727,                      1,                  0.955,                0.48737,                 1.5717,                 2.6766,                 1.1263,              0.0010404,              0.0010404,              0.0010404
                     26,                 1.5871,                 1.4114,                  1.228,                0.05597,                      1,                0.95088,                0.55959,                 1.3784,                   2.52,                 1.0662,              0.0010636,              0.0010636,              0.0010636
                     27,                 1.4948,                 1.3534,                 1.2397,                0.90305,                      1,                0.95088,                0.56807,                 1.3851,                  2.332,                 1.0697,              0.0010852,              0.0010852,              0.0010852
                     28,                 1.4814,                 1.3236,                 1.2113,                0.88185,                0.93323,                0.93167,                0.57704,                 1.3776,                 2.4003,                 1.0569,              0.0011054,              0.0011054,              0.0011054
                     29,                 1.5727,                 1.3661,                 1.2667,                0.51601,                      1,                0.80556,                 0.4725,                 1.3847,                 2.4828,                 1.0595,               0.001124,               0.001124,               0.001124
                     30,                  1.532,                 1.3057,                 1.2359,                0.90834,                0.61985,                0.95853,                0.54449,                 1.4756,                  2.191,                 1.0847,              0.0011412,              0.0011412,              0.0011412
                     31,                 1.5158,                 1.3125,                 1.2278,                0.93086,                      1,                0.95853,                0.56383,                 1.3842,                 2.0295,                 1.0712,              0.0011569,              0.0011569,              0.0011569
                     32,                 1.4328,                 1.2515,                 1.1848,                0.89722,                 0.9375,                0.98083,                0.53384,                 1.4156,                 1.8044,                 1.0931,              0.0011711,              0.0011711,              0.0011711
                     33,                 1.4578,                 1.2982,                 1.2049,                0.89164,                 0.9375,                0.97646,                0.55038,                 1.4058,                 1.6073,                 1.0863,              0.0011838,              0.0011838,              0.0011838
                     34,                 1.4337,                 1.2905,                 1.2334,                0.92833,                      1,                0.98441,                0.54987,                 1.3721,                  1.543,                 1.1027,              0.0011833,              0.0011833,              0.0011833
                     35,                 1.4834,                 1.2457,                 1.2069,                0.91555,                      1,                0.98029,                0.57668,                 1.3179,                 1.5753,                 1.1065,              0.0011585,              0.0011585,              0.0011585
                     36,                 1.4586,                 1.1888,                 1.2427,                0.83999,                      1,                   0.97,                0.57154,                 1.3101,                 1.5664,                 1.1092,              0.0011337,              0.0011337,              0.0011337
                     37,                 1.5151,                 1.2635,                 1.2605,                0.84689,                      1,                  0.961,                0.55451,                 1.3331,                 1.6483,                 1.0872,               0.001109,               0.001109,               0.001109
                     38,                 1.4534,                 1.2159,                  1.198,                0.93466,                      1,                0.96971,                0.55592,                 1.3989,                 1.5304,                 1.1039,              0.0010842,              0.0010842,              0.0010842
                     39,                 1.4247,                 1.1534,                 1.2254,                0.93997,                 0.9795,                0.96971,                0.53657,                 1.4136,                  1.427,                 1.1382,              0.0010595,              0.0010595,              0.0010595
                     40,                 1.4616,                 1.1644,                 1.2091,                0.93941,                 0.9699,                0.97324,                0.53266,                 1.3908,                 1.3619,                 1.1781,              0.0010347,              0.0010347,              0.0010347
                     41,                 1.3331,                 1.1464,                 1.1553,                0.91378,                 0.9375,                0.97646,                0.54389,                 1.3455,                 1.3372,                 1.1732,                0.00101,                0.00101,                0.00101
                     42,                 1.3731,                 1.1013,                 1.1928,                0.94086,                0.99459,                0.97324,                 0.5637,                 1.3821,                 1.2815,                 1.1767,             0.00098525,             0.00098525,             0.00098525
                     43,                  1.409,                 1.0909,                 1.2149,                0.94062,                0.99051,                0.97324,                0.53716,                 1.3756,                 1.3307,                 1.1685,              0.0009605,              0.0009605,              0.0009605
                     44,                 1.4827,                 1.1153,                  1.235,                0.94037,                0.98626,                0.99147,                0.62411,                 1.3078,                 1.3834,                 1.1534,             0.00093575,             0.00093575,             0.00093575
                     45,                 1.4303,                 1.1238,                 1.2321,                0.91733,                      1,                0.98794,                0.61342,                 1.3252,                 1.3802,                 1.1458,               0.000911,               0.000911,               0.000911
                     46,                 1.4246,                  1.012,                 1.1552,                0.96721,                 0.9375,                0.99147,                0.61142,                 1.3202,                 1.3534,                 1.1622,             0.00088625,             0.00088625,             0.00088625
                     47,                 1.3638,                  1.057,                 1.1597,                      1,                 0.8794,                  0.983,                0.55895,                 1.4308,                 1.4928,                 1.2111,              0.0008615,              0.0008615,              0.0008615
                     48,                 1.3273,                 1.0864,                 1.1783,                0.91981,                0.71813,                0.94536,                0.34038,                 1.9096,                 2.0193,                 1.4468,             0.00083675,             0.00083675,             0.00083675
                     49,                 1.3871,                 1.0566,                 1.1404,                0.82198,                 0.6875,                0.86048,                0.32661,                 1.9307,                 1.9356,                 1.4787,               0.000812,               0.000812,               0.000812
                     50,                 1.4399,                 1.1481,                 1.1848,                0.92523,                 0.9375,                0.97803,                 0.4928,                 1.6929,                 1.3164,                 1.3686,             0.00078725,             0.00078725,             0.00078725
                     51,                 1.3383,                 1.0024,                 1.1651,                0.97746,                 0.9375,                0.98833,                0.50024,                 1.6443,                 1.1533,                 1.3274,              0.0007625,              0.0007625,              0.0007625
                     52,                 1.3566,                 1.0308,                 1.1834,                0.93739,                      1,                0.98441,                0.42522,                  1.847,                 1.0007,                 1.3602,             0.00073775,             0.00073775,             0.00073775
                     53,                 1.3871,                 1.0137,                 1.1413,                0.93321,                      1,                0.98794,                0.39872,                  1.917,                0.99188,                 1.3875,               0.000713,               0.000713,               0.000713
                     54,                 1.3304,                0.97827,                 1.1438,                0.93068,                      1,                0.98794,                0.46861,                  1.783,                0.98572,                 1.3396,             0.00068825,             0.00068825,             0.00068825
                     55,                 1.2816,                0.96743,                 1.1585,                0.93224,                      1,                0.98794,                0.50201,                 1.6615,                0.96712,                 1.2888,              0.0006635,              0.0006635,              0.0006635
                     56,                 1.3056,                0.98361,                 1.1407,                0.93866,                      1,                0.98794,                0.55171,                 1.5394,                 0.9426,                 1.2486,             0.00063875,             0.00063875,             0.00063875
                     57,                  1.337,                0.97678,                 1.1444,                0.93705,                      1,                0.98441,                0.54667,                  1.548,                0.90034,                 1.2752,               0.000614,               0.000614,               0.000614
                     58,                 1.3101,                0.93626,                 1.1386,                 0.9392,                      1,                0.97324,                0.52851,                 1.5114,                0.83727,                 1.3343,             0.00058925,             0.00058925,             0.00058925
                     59,                 1.2375,                0.88884,                 1.1355,                0.93902,                      1,                0.98029,                0.53322,                 1.4663,                0.82463,                 1.3359,              0.0005645,              0.0005645,              0.0005645
                     60,                 1.3282,                0.97605,                  1.203,                0.93669,                      1,                0.98794,                 0.5533,                 1.4449,                0.85183,                 1.2852,             0.00053975,             0.00053975,             0.00053975
                     61,                 1.2568,                0.90524,                 1.1208,                0.93355,                      1,                0.98794,                0.55775,                 1.4868,                0.89717,                 1.2666,               0.000515,               0.000515,               0.000515
                     62,                 1.2012,                0.87851,                  1.096,                 0.9363,                      1,                0.97324,                0.50258,                 1.5862,                0.94732,                 1.2424,             0.00049025,             0.00049025,             0.00049025
                     63,                  1.285,                0.88127,                  1.101,                0.93605,                      1,                0.97324,                0.50124,                 1.5652,                0.94666,                 1.2371,              0.0004655,              0.0004655,              0.0004655
                     64,                 1.2922,                0.96995,                 1.1442,                0.93476,                      1,                0.97676,                0.54729,                 1.4753,                0.87306,                 1.1943,             0.00044075,             0.00044075,             0.00044075
                     65,                 1.2245,                0.89704,                 1.0772,                0.93401,                      1,                0.98029,                0.58374,                 1.4316,                0.85273,                 1.1781,               0.000416,               0.000416,               0.000416
                     66,                 1.1358,                0.87267,                 1.0892,                0.93435,                      1,                0.98794,                0.62415,                 1.3645,                0.80344,                 1.1698,             0.00039125,             0.00039125,             0.00039125
                     67,                 1.2155,                0.89415,                 1.1017,                0.93619,                      1,                0.98794,                0.64791,                 1.3651,                0.79578,                 1.1822,              0.0003665,              0.0003665,              0.0003665
                     68,                 1.2297,                0.87295,                 1.0903,                0.93703,                      1,                0.98441,                0.61598,                 1.3584,                0.79913,                 1.1989,             0.00034175,             0.00034175,             0.00034175
                     69,                 1.1671,                0.85242,                 1.0635,                0.93719,                      1,                0.98441,                0.61426,                 1.3607,                0.80133,                 1.2098,               0.000317,               0.000317,               0.000317
                     70,                 1.2233,                0.84153,                 1.0722,                0.93796,                      1,                0.96206,                0.58836,                 1.3553,                0.78796,                 1.2101,             0.00029225,             0.00029225,             0.00029225
                     71,                 1.2742,                 1.0159,                 1.1105,                0.93797,                      1,                0.94735,                0.58458,                  1.361,                0.78195,                 1.2107,              0.0002675,              0.0002675,              0.0002675
                     72,                 1.1937,                0.95762,                 1.0653,                0.93792,                      1,                0.94029,                0.53512,                 1.4456,                 0.8039,                 1.2344,             0.00024275,             0.00024275,             0.00024275
                     73,                 1.1143,                0.94545,                 1.0426,                0.93748,                      1,                0.94029,                0.53407,                 1.4909,                0.82828,                 1.2511,               0.000218,               0.000218,               0.000218
                     74,                 1.1534,                0.95554,                 1.0404,                0.93709,                      1,                0.94029,                0.52165,                 1.5357,                0.86091,                 1.2611,             0.00019325,             0.00019325,             0.00019325
                     75,                 1.1393,                0.92501,                   1.07,                0.93691,                      1,                0.94029,                0.50916,                 1.5236,                0.86656,                 1.2661,              0.0001685,              0.0001685,              0.0001685
                     76,                 1.1333,                  0.917,                 1.0815,                0.93648,                      1,                0.94029,                0.54901,                 1.4974,                0.85925,                 1.2506,             0.00014375,             0.00014375,             0.00014375
                     77,                 1.1183,                0.91301,                  1.046,                0.93641,                      1,                0.94029,                 0.5558,                 1.4906,                0.85702,                 1.2446,               0.000119,               0.000119,               0.000119
                     78,                 1.0324,                0.86822,                 1.0287,                0.93631,                      1,                0.94029,                0.55757,                 1.4793,                0.84749,                 1.2413,              9.425e-05,              9.425e-05,              9.425e-05
                     79,                 1.0962,                0.88308,                 1.0727,                0.93646,                      1,                0.94029,                 0.5478,                 1.4755,                0.84189,                 1.2412,               6.95e-05,               6.95e-05,               6.95e-05
                     80,                 1.0028,                0.84958,                 1.0175,                0.93664,                      1,                0.94029,                0.54833,                 1.4777,                0.83644,                 1.2435,              4.475e-05,              4.475e-05,              4.475e-05
